,locality,Locality Latitude,Locality Longitude,Ward,Ward Code
83,Westbury-on-Trym,51.494664746478875,-2.6111856901408452,Westbury-on-Trym and Henleaze,E05010917
84,Bristol,51.459642637334426,-2.59351473159462,Central,E05010892
85,Bristol,51.459642637334426,-2.59351473159462,Hengrove and Whitchurch Park,E05010902
86,Bristol,51.459642637334426,-2.59351473159462,Cotham,E05010895
87,Hawkfield Business Park,51.411909,-2.5935968,Hengrove and Whitchurch Park,E05010902
88,Hengrove Park,51.410990000000005,-2.584943,Hengrove and Whitchurch Park,E05010902
89,Stockwood,51.41472,-2.54434,Stockwood,E05010915
90,Hengrove,51.4179688,-2.5656968,Hengrove and Whitchurch Park,E05010902
91,Hengrove,51.4179688,-2.5656968,Stockwood,E05010915
92,Knowle,51.432241000000005,-2.571715407407408,Stockwood,E05010915
93,Bristol,51.459642637334426,-2.59351473159462,Hotwells and Harbourside,E05010905
94,Saint Augustines,51.454313,-2.599025,Central,E05010892
95,Bristol,51.459642637334426,-2.59351473159462,Eastville,E05010897
96,Bristol,51.459642637334426,-2.59351473159462,Frome Vale,E05010899
97,Stapleton,51.48816456603774,-2.5475081698113207,Frome Vale,E05010899
98,Stapleton,51.48816456603774,-2.5475081698113207,Eastville,E05010897
99,Fishponds,51.50432711304347,-2.5625655478260865,Eastville,E05010897
100,Fishponds,51.50432711304347,-2.5625655478260865,Frome Vale,E05010899
101,Bristol,51.459642637334426,-2.59351473159462,Hillfields,E05010903
102,Fishponds,51.50432711304347,-2.5625655478260865,Hillfields,E05010903
103,Redcliffe,51.448510785714284,-2.5876415000000006,Central,E05010892
104,Temple Meads,51.448915,-2.5818375000000002,Lawrence Hill,E05010907
105,Saint Philips,51.4514213877551,-2.574438408163265,Lawrence Hill,E05010907
106,Saint Philips,51.4514213877551,-2.574438408163265,Central,E05010892
107,Saint Philips Marsh,51.448137,-2.568121,Lawrence Hill,E05010907
108,Kingsdown,51.461792083333336,-2.596508416666667,Central,E05010892
109,Kingsdown,51.461792083333336,-2.596508416666667,Cotham,E05010895
110,Saint James,51.460284333333334,-2.5947183333333332,Central,E05010892
111,Knowle,51.432241000000005,-2.571715407407408,Filwood,E05010898
112,Easton,51.46498264285715,-2.566044261904762,Easton,E05010896
113,Eastville,51.47328049019608,-2.558788843137255,Eastville,E05010897
114,Eastville,51.47328049019608,-2.558788843137255,Easton,E05010896
115,Eastville,51.47328049019608,-2.558788843137255,Lockleaze,E05010908
116,Greenbank,51.468823333333326,-2.557363333333333,Easton,E05010896
117,Greenbank,51.468823333333326,-2.557363333333333,Eastville,E05010897
118,Bristol,51.459642637334426,-2.59351473159462,St George Central,E05010910
119,Clay Hill,51.47054533333333,-2.5431519999999996,Eastville,E05010897
120,Saint George,51.458130691358015,-2.5385552469135804,St George West,E05010912
121,Saint George,51.458130691358015,-2.5385552469135804,St George Central,E05010910
122,Speedwell,51.46756323076924,-2.534427461538461,St George Central,E05010910
123,Speedwell,51.46756323076924,-2.534427461538461,Eastville,E05010897
124,Whitehall,51.46372641176471,-2.5520087058823533,St George West,E05010912
125,Whitehall,51.46372641176471,-2.5520087058823533,Eastville,E05010897
126,Bristol,51.459642637334426,-2.59351473159462,St George Troopers Hill,E05010911
