,name,latitude,longitude,Venue,Venue Id,Venue Latitude,Venue Longitude,Venue postalCode,Venue Category
43,Clifton,51.46,-2.62,Bravas,4f7f2d70e4b09e2ac38f7bec,51.46437511059457,-2.60890275057498,BS6 6LD,Tapas Restaurant
44,Clifton,51.46,-2.62,Brewhouse & Kitchen,54f8b36e498e754ce4ddd03c,51.464018,-2.608344,BS6 6LT,Gastropub
45,Clifton,51.46,-2.62,New Moon Cafe,5570885d498e99a4a7ec8cd9,51.454833,-2.620588,,Tapas Restaurant
46,Cliftonwood,51.4510975,-2.6097115000000004,Boston Tea Party,4b058836f964a520ceb822e3,51.45524932705079,-2.6036836847608544,BS1 5PF,Café
47,Cliftonwood,51.4510975,-2.6097115000000004,Steak Of The Art,527be3db498e22b9354f15c3,51.449742734594274,-2.602994956298978,BS1 5LN,Steakhouse
48,Cliftonwood,51.4510975,-2.6097115000000004,The Olive Shed,4b05883df964a520fab922e3,51.44708665067892,-2.6001671914787177,BS1 4RN,Tapas Restaurant
49,Cliftonwood,51.4510975,-2.6097115000000004,Cote,4d30a83296fe6ea80c421744,51.455972088738356,-2.621580444620954,BS8 4JG,French Restaurant
50,Cliftonwood,51.4510975,-2.6097115000000004,Zerodegrees,4b058838f964a5202cb922e3,51.45624675734139,-2.597980285043361,BS1 5BA,Gastropub
51,Cliftonwood,51.4510975,-2.6097115000000004,The Prince Street Social,56d0c35dcd105fe2c43a4796,51.45059531983873,-2.596522160683959,BS1 4PS,Gastropub
52,Cliftonwood,51.4510975,-2.6097115000000004,El Puerto,4e8748f8d3e393c4a795ad5d,51.44948531380454,-2.5965473194815427,BS1 4QH,Tapas Restaurant
53,Cliftonwood,51.4510975,-2.6097115000000004,The Smoke Haus,58ea32fae309e104fb3ec877,51.45418,-2.597609,BS1,New American Restaurant
54,Cliftonwood,51.4510975,-2.6097115000000004,Café Rouge,4b2e3c13f964a52089dd24e3,51.45548349780405,-2.604043607458133,BS1 5PJ,French Restaurant
55,Cliftonwood,51.4510975,-2.6097115000000004,New Moon Cafe,5570885d498e99a4a7ec8cd9,51.454833,-2.620588,,Tapas Restaurant
56,Cliftonwood,51.4510975,-2.6097115000000004,El Rincon,4ca38f0c750ca093dcf71967,51.443295769055055,-2.6162741283172,BS3 1JU,Tapas Restaurant
