,name,latitude,longitude,Ward Code,Ward Name,Ward Latitude,Ward Longitude,LSOA11 Local name,LSOA11 Code
53,Redfield,51.45971,-2.55653,E05010896,Easton,51.4623705993,-2.5585063858,Gilbert Road,E01014565
54,Redland,51.47241,-2.60321,E05010909,Redland,51.4752437813,-2.60115989823,Redland Court Road,E01014669
55,Sea Mills,51.4856,-2.6422,E05010916,Stoke Bishop,51.477424266,-2.6360462691,Stoke Bishop North,E01014711
56,Shirehampton,51.4945,-2.6712,E05010886,Avonmouth & Lawrence Weston,51.5073327319,-2.67640730493,Lawrence Weston West,E01014497
57,Sneyd Park,51.4766,-2.6421,E05010916,Stoke Bishop,51.477424266,-2.6360462691,Sneyd Park and the Downs,E01014709
58,Southmead,51.5039,-2.6028,E05010913,Southmead,51.5030607461,-2.60111976195,Southmead Central,E01014689
59,Southville,51.445,-2.6003,E05010914,Southville,51.4433202033,-2.60399275913,Coronation Road East,E01014701
60,Speedwell,51.4682,-2.5268,E05010897,Eastville,51.4747087486,-2.54692742667,Chester Park,E01014627
61,Spike Island,51.4479,-2.6087,E05010905,Hotwells & Harbourside,51.4497266657,-2.60958061728,Spike Island,E01033350
62,St Andrew's,51.4712805,-2.588771666666667,E05010885,Ashley,51.4683087281,-2.58267455617,Cromwell Road,E01014487
63,St Anne's,51.4316,-2.5536,E05010891,Brislington West,51.4343921365,-2.54907070184,Callington Road,E01014535
64,St. George,51.4586,-2.5385,E05010910,St George Central,51.4621388592,-2.52638370327,Clouds Hill,E01014683
65,St. Jude's,51.460012,-2.579625,E05010907,Lawrence Hill,51.4545915255,-2.57123550176,Cabot Circus,E01033358
66,St. Paul's,51.4656,-2.582,E05010885,Ashley,51.4683087281,-2.58267455617,St Agnes,E01014486
67,St Philip's Marsh,51.4479,-2.5666,E05010907,Lawrence Hill,51.4545915255,-2.57123550176,St Philips,E01014658
68,St. Werburgh's,51.47,-2.576,E05010885,Ashley,51.4683087281,-2.58267455617,Mina Road,E01014485
69,Stapleton,51.4804,-2.5552,E05010897,Eastville,51.4747087486,-2.54692742667,Eastville Park,E01014575
70,Stockwood,51.4147,-2.541,E05010915,Stockwood,51.4184164447,-2.54973483036,The Coots,E01014705
71,Stoke Bishop,51.4804,-2.6299,E05010916,Stoke Bishop,51.477424266,-2.6360462691,University Halls,E01014714
72,Totterdown,51.4388,-2.566,E05010906,Knowle,51.4327758412,-2.57233571619,Upper Knowle,E01014648
73,Tyndall's Park,51.46,-2.6,E05010892,Central,51.4544133988,-2.5943380148,University,E01014542
74,Upper Knowle,51.434,-2.5721,E05010906,Knowle,51.4327758412,-2.57233571619,Upper Knowle,E01014648
75,Westbury-on-Trym,51.493,-2.6196,E05010917,Westbury-on-Trym & Henleaze,51.4897935392,-2.61748538616,Westbury Village,E01014719
76,Westbury Park,51.4788,-2.6121,E05010917,Westbury-on-Trym & Henleaze,51.4897935392,-2.61748538616,North View,E01014619
77,Whitehall,51.462,-2.554,E05010912,St George West,51.4601158409,-2.54693991989,Redfield,E01014681
78,Windmill Hill,51.4412,-2.5861,E05010918,Windmill Hill,51.4390956172,-2.58594642944,Victoria Park,E01014735
79,Withywood,51.41477,-2.62114,E05010889,Bishopsworth,51.4217865816,-2.61645797497,Kings Head Park,E01014521
80,South Gloucestershire,51.479,-2.38,,,0.0,0.0,,
81,North Somerset,51.39,-2.8,,,0.0,0.0,,
82,Bradley Stoke,51.5293,-2.5456,,,0.0,0.0,,
83,Conham,51.44,-2.53,E05010890,Brislington East,51.4402818459,-2.53865430791,Broomhill Road,E01014526
84,Downend,51.4947,-2.5049,,,0.0,0.0,,
85,Emerson's Green,51.4947,-2.5049,,,0.0,0.0,,
86,Filton,51.51,-2.574,,,0.0,0.0,,
87,Frenchay,51.4979,-2.5194,,,0.0,0.0,,
88,Hambrook,51.508,-2.518,,,0.0,0.0,,
89,Hanham,51.44962,-2.51626,,,0.0,0.0,,
90,Kingswood,51.46,-2.505,,,0.0,0.0,,
91,Little Stoke,51.524,-2.56,,,0.0,0.0,,
92,Longwell Green,51.4374,-2.4947,,,0.0,0.0,,
93,Mangotsfield,51.48,-2.49,,,0.0,0.0,,
94,Oldland Common,51.4437,-2.4697,,,0.0,0.0,,
95,Patchway,51.5314,-2.5879,,,0.0,0.0,,
96,Soundwell,51.473,-2.506,,,0.0,0.0,,
97,Staple Hill,51.479755,-2.502025,,,0.0,0.0,,
98,Stoke Gifford,51.517,-2.548,,,0.0,0.0,,
99,Warmley,51.46,-2.4776,,,0.0,0.0,,
100,Whitchurch,51.4064,-2.5594,,,0.0,0.0,,
101,Willsbridge,51.43,-2.482,,,0.0,0.0,,
